Estimate,Std. Error,t value,Pr(>|t|),Term
15.689834255630283,0.28594875658014884,54.869391436687586,0,(Intercept)
-0.0053236903307635666,5.177905164082653e-4,-10.281552407896875,1.705779664000378e-24,AcuteLoad
0.002829206830119413,7.314799854490178e-4,3.8677843364131266,1.1155804006552336e-4,ChronicLoad
0.9455383483571627,0.12040068927715568,7.853263582076229,5.155703775678502e-15,AcuteChronicRatio
0.9150009192060633,0.22792384315145484,4.014502855666783,6.065198255319141e-5,GameDay
3.4828948817139067,0.2491296958648348,13.980247796728134,2.080967420358018e-43,factor(PlayerID)2
1.989295293219859,0.23755809103539918,8.37393196985839,7.59305042537731e-17,factor(PlayerID)3
1.6914200995440138,0.2805540184629024,6.028857147764112,1.7989695981357275e-9,factor(PlayerID)4
3.125038980946504,0.3150915880047661,9.917874992268072,6.34993267507704e-23,factor(PlayerID)5
3.093395950140664,0.27084783632286197,11.421158064756355,9.336895297768607e-30,factor(PlayerID)6
1.7302312608295232,0.24002034029269906,7.20868597519505,6.709846156666361e-13,factor(PlayerID)7
3.7972159054760666,0.25099212823499367,15.128824685373752,2.4440410517757684e-50,factor(PlayerID)8
8.281618999328817,0.26690853101721224,31.02792918520374,8.867312552641277e-190,factor(PlayerID)9
0.5289195061480308,0.2507109903325336,2.109678181425122,0.03494743115204056,factor(PlayerID)10
-0.36287101123432836,0.24120341115022606,-1.504419068967169,0.13255166662439283,factor(PlayerID)11
2.988974802809353,0.2865682797457356,10.430236052159682,3.75445681355919e-25,factor(PlayerID)12
2.3199834389764167,0.23715385364902453,9.782609066980934,2.363518730897754e-22,factor(PlayerID)13
2.870387142273621,0.2901793450034302,9.89176932024466,8.194048248535959e-23,factor(PlayerID)14
6.673641118879849,0.34007831727964016,19.6238359806757,5.681985130294859e-82,factor(PlayerID)15
-0.054186657381490574,0.23842494271346384,-0.22726924777585636,0.8202258837446377,factor(PlayerID)16
3.266572944777339,0.28587611298949556,11.426533370059389,8.793737454223246e-30,factor(PlayerID)17
